"account_name","order_date"
"Freddie Mac","2014-01-01 13:11:47"
"Freddie Mac","2014-01-01 13:14:37"
"Charter Communications","2014-01-01 15:42:00"
"American Family Insurance Group","2014-01-02 03:02:01"
"American Family Insurance Group","2014-01-02 03:09:11"
"DISH Network","2014-01-02 10:00:14"
"Citigroup","2014-01-03 23:56:43"
"United States Steel","2014-01-04 08:46:51"
"Altria Group","2014-01-05 01:12:44"
"Guardian Life Ins. Co. of America","2014-01-05 05:52:57"
"Guardian Life Ins. Co. of America","2014-01-05 06:15:06"
"BlackRock","2014-01-05 13:14:24"
"BlackRock","2014-01-05 13:27:33"
"PPL","2014-01-06 08:01:26"
"PPL","2014-01-06 08:11:00"
"TJX","2014-01-06 13:19:52"
"TJX","2014-01-06 13:21:49"
"Land O'Lakes","2014-01-06 14:28:25"
"Land O'Lakes","2014-01-06 14:31:19"
"United Continental Holdings","2014-01-07 00:36:19"
"United Continental Holdings","2014-01-07 00:38:42"
"IBM","2014-01-07 01:37:17"
"IBM","2014-01-07 01:37:46"
"Colgate-Palmolive","2014-01-07 12:23:52"
"Cisco Systems","2014-01-08 06:40:24"
"Cisco Systems","2014-01-08 06:54:57"
"Lithia Motors","2014-01-08 22:13:59"
"Whirlpool","2014-01-09 03:49:54"
"Whirlpool","2014-01-09 04:02:00"
"Bank of America Corp.","2014-01-09 04:41:26"
"McDonald's","2014-01-09 11:47:15"
"McDonald's","2014-01-09 11:50:24"
"United Natural Foods","2014-01-09 19:58:26"
"Massachusetts Mutual Life Insurance","2014-01-10 01:18:15"
"Supervalu","2014-01-10 05:14:56"
"Supervalu","2014-01-10 05:39:25"
"EOG Resources","2014-01-11 09:33:59"
"EOG Resources","2014-01-11 09:42:04"
"Best Buy","2014-01-11 11:12:30"
"Best Buy","2014-01-11 11:13:37"
"Leucadia National","2014-01-11 12:07:51"
"Archer Daniels Midland","2014-01-11 15:51:28"
"Archer Daniels Midland","2014-01-11 16:03:10"
"Dollar General","2014-01-12 02:08:28"
"Dollar General","2014-01-12 02:24:20"
"FirstEnergy","2014-01-12 03:36:26"
"FirstEnergy","2014-01-12 03:43:05"
"New York Life Insurance","2014-01-12 19:58:30"
"Western Refining","2014-01-14 07:50:03"
"Western Refining","2014-01-14 07:53:59"
"Southwest Airlines","2014-01-14 18:17:53"
"AutoNation","2014-01-15 03:50:09"
"AutoNation","2014-01-15 03:51:03"
"Ecolab","2014-01-15 05:21:50"
"Ecolab","2014-01-15 05:25:19"
"Sysco","2014-01-16 08:33:41"
"Sysco","2014-01-16 08:38:51"
"Western Digital","2014-01-16 09:57:35"
"Walgreens Boots Alliance","2014-01-16 12:41:35"
"Jabil Circuit","2014-01-17 12:15:05"
"Twenty-First Century Fox","2014-01-17 15:39:45"
"Baker Hughes","2014-01-18 08:35:10"
"Fluor","2014-01-19 17:34:09"
"Core-Mark Holding","2014-01-20 08:08:04"
"Core-Mark Holding","2014-01-20 08:11:32"
"General Dynamics","2014-01-21 02:17:14"
"General Dynamics","2014-01-21 02:35:06"
"Monsanto","2014-01-21 10:26:38"
"Thermo Fisher Scientific","2014-01-21 21:59:53"
"Arrow Electronics","2014-01-22 22:09:34"
"Arrow Electronics","2014-01-22 22:12:26"
"Lear","2014-01-23 04:16:43"
"Republic Services","2014-01-24 07:34:09"
"Republic Services","2014-01-24 07:42:38"
"Entergy","2014-01-25 09:10:59"
"Entergy","2014-01-25 09:13:07"
"Abbott Laboratories","2014-01-25 15:02:02"
"Capital One Financial","2014-01-26 13:22:02"
"Capital One Financial","2014-01-26 13:25:48"
"Avis Budget Group","2014-01-26 19:28:18"
"Avis Budget Group","2014-01-26 19:33:03"
"ADP","2014-01-27 03:50:23"
"United Technologies","2014-01-27 13:39:28"
"United Technologies","2014-01-27 13:54:19"
"Paccar","2014-01-28 00:43:27"
"Philip Morris International","2014-01-28 16:23:20"
"Philip Morris International","2014-01-28 16:23:43"
"Disney","2014-01-29 02:15:11"
"Disney","2014-01-29 02:18:09"
"Kinder Morgan","2014-01-29 12:53:18"
"Kinder Morgan","2014-01-29 13:01:34"
"Centene","2014-01-29 15:32:22"
"Centene","2014-01-29 15:45:11"
"Illinois Tool Works","2014-01-29 16:10:51"
"Illinois Tool Works","2014-01-29 16:21:02"
"Marathon Petroleum","2014-01-29 21:07:42"
"Marathon Petroleum","2014-01-29 21:12:33"
"Charter Communications","2014-01-30 07:11:55"
"Charter Communications","2014-01-30 07:23:21"
"Freddie Mac","2014-01-30 12:40:13"
"FedEx","2014-01-31 16:40:38"
"FedEx","2014-01-31 17:01:49"
"American Family Insurance Group","2014-02-01 02:40:49"
"DISH Network","2014-02-01 20:15:10"
"Citigroup","2014-02-02 03:43:39"
"Citigroup","2014-02-02 04:00:37"
"Guardian Life Ins. Co. of America","2014-02-03 07:13:06"
"Altria Group","2014-02-03 07:36:57"
"United States Steel","2014-02-03 13:25:28"
"United States Steel","2014-02-03 13:26:44"
"PPL","2014-02-04 03:04:08"
"PPL","2014-02-04 03:26:34"
"BlackRock","2014-02-04 08:55:27"
"BlackRock","2014-02-04 09:07:39"
"TJX","2014-02-04 09:19:59"
"Land O'Lakes","2014-02-04 16:23:31"
"Colgate-Palmolive","2014-02-05 02:52:56"
"Colgate-Palmolive","2014-02-05 03:06:02"
"IBM","2014-02-05 14:07:08"
"IBM","2014-02-05 14:07:38"
"United Continental Holdings","2014-02-06 23:20:11"
"McDonald's","2014-02-07 06:09:30"
"McDonald's","2014-02-07 06:21:43"
"Cisco Systems","2014-02-07 06:48:46"
"Cisco Systems","2014-02-07 06:49:34"
"United Natural Foods","2014-02-07 16:28:21"
"United Natural Foods","2014-02-07 16:42:43"
"Lithia Motors","2014-02-07 19:04:18"
"Lithia Motors","2014-02-07 19:14:23"
"Bank of America Corp.","2014-02-07 20:51:49"
"Bank of America Corp.","2014-02-07 21:05:25"
"Supervalu","2014-02-08 06:00:05"
"Supervalu","2014-02-08 06:16:00"
"Whirlpool","2014-02-08 12:39:33"
"Whirlpool","2014-02-08 12:46:47"
"EOG Resources","2014-02-09 09:00:48"
"EOG Resources","2014-02-09 09:20:41"
"Leucadia National","2014-02-09 15:23:44"
"Leucadia National","2014-02-09 15:44:49"
"Massachusetts Mutual Life Insurance","2014-02-09 16:19:21"
"Massachusetts Mutual Life Insurance","2014-02-09 16:35:31"
"Dollar General","2014-02-10 03:40:07"
"FirstEnergy","2014-02-10 16:03:21"
"Archer Daniels Midland","2014-02-10 16:20:09"
"Archer Daniels Midland","2014-02-10 16:22:01"
"New York Life Insurance","2014-02-11 17:09:54"
"New York Life Insurance","2014-02-11 17:13:04"
"Southwest Airlines","2014-02-12 00:24:12"
"Southwest Airlines","2014-02-12 00:27:09"
"Western Refining","2014-02-13 02:39:26"
"Ecolab","2014-02-13 06:30:55"
"Ecolab","2014-02-13 06:37:53"
"AutoNation","2014-02-13 21:09:51"
"AutoNation","2014-02-13 21:32:38"
"Walgreens Boots Alliance","2014-02-14 08:36:49"
"Western Digital","2014-02-14 19:10:43"
"Western Digital","2014-02-14 19:26:42"
"Sysco","2014-02-14 20:04:02"
"Sysco","2014-02-14 20:14:32"
"Jabil Circuit","2014-02-16 07:58:14"
"Jabil Circuit","2014-02-16 08:25:44"
"Twenty-First Century Fox","2014-02-16 09:11:35"
"Twenty-First Century Fox","2014-02-16 09:15:42"
"Baker Hughes","2014-02-16 10:00:48"
"Baker Hughes","2014-02-16 10:01:32"
"Mosaic","2014-02-18 03:13:54"
"Mosaic","2014-02-18 03:15:26"
"Fluor","2014-02-18 10:34:12"
"Fluor","2014-02-18 10:48:23"
"Core-Mark Holding","2014-02-19 01:12:36"
"Thermo Fisher Scientific","2014-02-19 02:56:48"
"General Dynamics","2014-02-20 00:33:55"
"General Dynamics","2014-02-20 00:34:29"
"Monsanto","2014-02-20 18:10:10"
"Arrow Electronics","2014-02-21 06:11:06"
"Arrow Electronics","2014-02-21 06:30:36"
"Lear","2014-02-21 11:00:41"
"Lear","2014-02-21 11:01:05"
"Republic Services","2014-02-23 07:28:03"
"Republic Services","2014-02-23 07:30:07"
"Capital One Financial","2014-02-24 02:59:58"
"Entergy","2014-02-24 17:52:12"
"Abbott Laboratories","2014-02-24 18:00:49"
"Entergy","2014-02-24 18:03:20"
"Abbott Laboratories","2014-02-24 18:05:29"
"ADP","2014-02-25 19:56:12"
"ADP","2014-02-25 20:21:34"
"United Technologies","2014-02-25 21:21:50"
"United Technologies","2014-02-25 21:34:12"
"Philip Morris International","2014-02-26 04:02:14"
"Philip Morris International","2014-02-26 04:07:57"
"Paccar","2014-02-26 10:18:48"
"Paccar","2014-02-26 10:34:55"
"Illinois Tool Works","2014-02-27 12:11:47"
"Illinois Tool Works","2014-02-27 12:18:00"
"Disney","2014-02-27 13:53:06"
"Kinder Morgan","2014-02-27 17:34:34"
"Centene","2014-02-27 23:42:24"
"Freddie Mac","2014-02-28 19:13:55"
"Freddie Mac","2014-02-28 19:24:53"
"Marathon Petroleum","2014-02-28 19:57:27"
"Charter Communications","2014-02-28 20:45:56"
"Charter Communications","2014-02-28 20:50:08"
"American Family Insurance Group","2014-03-02 20:00:29"
"FedEx","2014-03-02 21:21:42"
"FedEx","2014-03-02 21:24:14"
"Citigroup","2014-03-03 07:53:36"
"DISH Network","2014-03-03 08:41:56"
"DISH Network","2014-03-03 09:02:43"
"Altria Group","2014-03-04 00:55:49"
"United States Steel","2014-03-04 19:04:27"
"United States Steel","2014-03-04 19:17:46"
"Guardian Life Ins. Co. of America","2014-03-04 22:37:28"
"Land O'Lakes","2014-03-05 13:30:35"
"Land O'Lakes","2014-03-05 13:40:51"
"BlackRock","2014-03-05 22:41:30"
"BlackRock","2014-03-05 22:52:21"
"TJX","2014-03-05 23:53:09"
"Colgate-Palmolive","2014-03-06 01:25:41"
"PPL","2014-03-06 05:19:59"
"PPL","2014-03-06 05:22:25"
"IBM","2014-03-06 13:40:13"
"IBM","2014-03-06 13:40:13"
"United Continental Holdings","2014-03-07 09:29:31"
"United Continental Holdings","2014-03-07 09:46:34"
"Bank of America Corp.","2014-03-08 06:23:33"
"Bank of America Corp.","2014-03-08 06:36:38"
"United Natural Foods","2014-03-08 15:33:55"
"United Natural Foods","2014-03-08 15:56:17"
"McDonald's","2014-03-08 21:12:19"
"McDonald's","2014-03-08 21:21:21"
"Supervalu","2014-03-09 03:38:52"
"Supervalu","2014-03-09 03:41:27"
"Lithia Motors","2014-03-09 07:10:22"
"Lithia Motors","2014-03-09 07:21:16"
"Cisco Systems","2014-03-09 11:16:57"
"Cisco Systems","2014-03-09 11:20:59"
"Whirlpool","2014-03-10 12:57:29"
"EOG Resources","2014-03-10 16:42:55"
"Leucadia National","2014-03-11 04:28:28"
"Leucadia National","2014-03-11 04:36:04"
"FirstEnergy","2014-03-11 05:55:32"
"FirstEnergy","2014-03-11 06:07:55"
"Archer Daniels Midland","2014-03-11 12:33:29"
"Archer Daniels Midland","2014-03-11 12:40:24"
"Dollar General","2014-03-12 10:53:53"
"Dollar General","2014-03-12 11:16:38"
"Best Buy","2014-03-12 22:32:17"
"Best Buy","2014-03-12 22:34:36"
"New York Life Insurance","2014-03-13 22:01:43"
"New York Life Insurance","2014-03-13 22:04:04"
"Southwest Airlines","2014-03-13 22:11:19"
"Western Refining","2014-03-14 19:47:17"
"Western Refining","2014-03-14 20:06:33"
"Sysco","2014-03-15 00:44:31"
"Sysco","2014-03-15 01:06:27"
"Western Digital","2014-03-15 07:52:42"
"AutoNation","2014-03-15 17:05:21"
"Ecolab","2014-03-15 21:11:26"
"Ecolab","2014-03-15 21:17:34"
"Walgreens Boots Alliance","2014-03-16 04:32:25"
"Walgreens Boots Alliance","2014-03-16 04:54:17"
"Baker Hughes","2014-03-18 09:38:22"
"Twenty-First Century Fox","2014-03-18 11:47:39"
"Twenty-First Century Fox","2014-03-18 12:08:21"
"Jabil Circuit","2014-03-18 14:16:18"
"Jabil Circuit","2014-03-18 14:20:52"
"Mosaic","2014-03-20 04:40:46"
"Mosaic","2014-03-20 04:44:48"
"Thermo Fisher Scientific","2014-03-20 09:13:33"
"Fluor","2014-03-20 22:21:46"
"Core-Mark Holding","2014-03-21 06:08:47"
"Core-Mark Holding","2014-03-21 06:25:17"
"Monsanto","2014-03-21 07:34:17"
"Monsanto","2014-03-21 08:02:12"
"General Dynamics","2014-03-21 19:28:41"
"General Dynamics","2014-03-21 19:29:00"
"Arrow Electronics","2014-03-22 10:09:54"
"Arrow Electronics","2014-03-22 10:17:05"
"Lear","2014-03-23 19:16:08"
"Lear","2014-03-23 19:21:43"
"Republic Services","2014-03-25 01:58:39"
"Republic Services","2014-03-25 02:08:51"
"Entergy","2014-03-26 05:06:00"
"Entergy","2014-03-26 05:12:45"
"Capital One Financial","2014-03-26 05:52:21"
"Capital One Financial","2014-03-26 05:57:29"
"Abbott Laboratories","2014-03-26 10:49:33"
"ADP","2014-03-26 21:22:00"
"ADP","2014-03-26 21:23:14"
"Avis Budget Group","2014-03-26 23:14:26"
"Avis Budget Group","2014-03-26 23:42:28"
"United Technologies","2014-03-27 15:09:57"
"United Technologies","2014-03-27 15:31:34"
"Paccar","2014-03-28 03:40:49"
"Paccar","2014-03-28 03:40:57"
"Philip Morris International","2014-03-28 14:59:01"
"Philip Morris International","2014-03-28 14:59:24"
"Centene","2014-03-29 02:04:17"
"Centene","2014-03-29 02:04:29"
"Charter Communications","2014-03-29 03:10:00"
"Disney","2014-03-29 05:07:37"
"Disney","2014-03-29 05:19:29"
"Illinois Tool Works","2014-03-29 07:42:07"
"Illinois Tool Works","2014-03-29 07:54:52"
"Kinder Morgan","2014-03-29 10:41:40"
"Kinder Morgan","2014-03-29 10:59:55"
"Freddie Mac","2014-03-30 00:51:53"
"Freddie Mac","2014-03-30 01:05:40"
"Marathon Petroleum","2014-03-30 18:53:35"
"Marathon Petroleum","2014-03-30 18:54:59"
"American Family Insurance Group","2014-03-31 15:05:07"
"American Family Insurance Group","2014-03-31 15:19:48"
"FedEx","2014-03-31 18:27:53"
"DISH Network","2014-04-01 07:45:24"
"Citigroup","2014-04-01 11:34:26"
"Citigroup","2014-04-01 11:34:44"
"Guardian Life Ins. Co. of America","2014-04-02 18:55:19"
"TJX","2014-04-03 00:16:46"
"TJX","2014-04-03 00:24:20"
"United States Steel","2014-04-03 01:25:23"
"Altria Group","2014-04-03 01:39:49"
"Land O'Lakes","2014-04-04 11:20:43"
"Land O'Lakes","2014-04-04 11:26:59"
"PPL","2014-04-04 19:20:05"
"BlackRock","2014-04-04 21:04:03"
"BlackRock","2014-04-04 21:12:41"
"Colgate-Palmolive","2014-04-05 02:00:10"
"Colgate-Palmolive","2014-04-05 02:07:11"
"IBM","2014-04-05 06:47:38"
"United Continental Holdings","2014-04-06 21:01:23"
"Lithia Motors","2014-04-07 03:03:23"
"Supervalu","2014-04-07 05:58:51"
"Supervalu","2014-04-07 06:11:08"
"McDonald's","2014-04-07 07:28:07"
"McDonald's","2014-04-07 07:33:56"
"Bank of America Corp.","2014-04-07 10:45:53"
"Bank of America Corp.","2014-04-07 10:57:41"
"Cisco Systems","2014-04-07 15:55:34"
"United Natural Foods","2014-04-07 22:39:01"
"United Natural Foods","2014-04-07 22:42:00"
"Whirlpool","2014-04-09 13:14:37"
"Whirlpool","2014-04-09 13:14:48"
"EOG Resources","2014-04-09 16:09:01"
"EOG Resources","2014-04-09 16:13:42"
"Leucadia National","2014-04-09 18:42:46"
"Leucadia National","2014-04-09 18:44:32"
"FirstEnergy","2014-04-09 19:52:40"
"FirstEnergy","2014-04-09 19:58:10"
"Massachusetts Mutual Life Insurance","2014-04-09 20:57:49"
"Archer Daniels Midland","2014-04-10 00:04:50"
"Archer Daniels Midland","2014-04-10 00:26:02"
"Best Buy","2014-04-10 00:50:53"
"Best Buy","2014-04-10 00:58:45"
"New York Life Insurance","2014-04-11 00:37:03"
"New York Life Insurance","2014-04-11 00:47:42"
"Dollar General","2014-04-11 04:40:49"
"Southwest Airlines","2014-04-12 02:28:42"
"Western Refining","2014-04-12 18:45:25"
"Western Refining","2014-04-12 18:53:39"
"Ecolab","2014-04-13 05:34:07"
"AutoNation","2014-04-13 13:58:34"
"AutoNation","2014-04-13 14:06:30"
"Sysco","2014-04-13 15:23:44"
"Sysco","2014-04-13 15:42:29"
"Walgreens Boots Alliance","2014-04-14 13:50:16"
"Walgreens Boots Alliance","2014-04-14 13:50:32"
"Western Digital","2014-04-14 14:47:44"
"Western Digital","2014-04-14 14:49:58"
"Jabil Circuit","2014-04-16 06:24:45"
"Jabil Circuit","2014-04-16 06:48:28"
"Twenty-First Century Fox","2014-04-16 17:02:01"
"Twenty-First Century Fox","2014-04-16 17:02:02"
"Thermo Fisher Scientific","2014-04-18 07:01:00"
"Thermo Fisher Scientific","2014-04-18 07:17:55"
"Mosaic","2014-04-18 16:33:03"
"General Dynamics","2014-04-19 06:10:06"
"General Dynamics","2014-04-19 06:22:22"
"Fluor","2014-04-19 09:15:27"
"Fluor","2014-04-19 09:23:13"
"Monsanto","2014-04-19 21:41:42"
"Core-Mark Holding","2014-04-20 13:31:11"
"Arrow Electronics","2014-04-21 02:47:01"
"Arrow Electronics","2014-04-21 03:02:14"
"Lear","2014-04-21 10:53:59"
"CST Brands","2014-04-22 12:43:39"
"CST Brands","2014-04-22 12:51:59"
"Avis Budget Group","2014-04-24 07:27:16"
"Avis Budget Group","2014-04-24 07:34:16"
"Republic Services","2014-04-24 16:34:24"
"Republic Services","2014-04-24 16:41:00"
"Abbott Laboratories","2014-04-25 04:19:24"
"Capital One Financial","2014-04-25 04:51:53"
"Capital One Financial","2014-04-25 05:01:23"
"ADP","2014-04-25 10:43:04"
"Entergy","2014-04-25 16:58:08"
"Parker-Hannifin","2014-04-26 05:41:12"
"Philip Morris International","2014-04-26 10:32:45"
"Philip Morris International","2014-04-26 10:44:08"
"United Technologies","2014-04-26 16:59:55"
"United Technologies","2014-04-26 17:15:49"
"Charter Communications","2014-04-27 05:24:05"
"Charter Communications","2014-04-27 05:34:08"
"Paccar","2014-04-27 13:29:11"
"Paccar","2014-04-27 13:51:56"
"Illinois Tool Works","2014-04-27 18:29:13"
"Kinder Morgan","2014-04-27 21:20:37"
"Centene","2014-04-28 06:51:26"
"Centene","2014-04-28 07:01:46"
"Disney","2014-04-28 09:24:21"
"Marathon Petroleum","2014-04-28 21:18:43"
"Marathon Petroleum","2014-04-28 21:36:45"
"Freddie Mac","2014-04-28 22:20:27"
"Freddie Mac","2014-04-28 22:47:53"
"FedEx","2014-04-29 02:26:36"
"American Family Insurance Group","2014-04-30 00:42:59"
"American Family Insurance Group","2014-04-30 00:44:45"
"DISH Network","2014-04-30 01:06:23"
"Guardian Life Ins. Co. of America","2014-05-01 03:08:51"
"Citigroup","2014-05-01 22:00:28"
"Citigroup","2014-05-01 22:04:57"
"Altria Group","2014-05-02 15:41:05"
"Altria Group","2014-05-02 15:47:22"
"TJX","2014-05-02 20:53:52"
"TJX","2014-05-02 21:08:04"
"BlackRock","2014-05-03 05:33:21"
"United States Steel","2014-05-03 06:19:37"
"Land O'Lakes","2014-05-04 03:59:48"
"Aetna","2014-05-04 10:04:50"
"IBM","2014-05-04 11:56:46"
"PPL","2014-05-05 00:03:19"
"PPL","2014-05-05 00:04:02"
"Colgate-Palmolive","2014-05-05 13:31:48"
"United Continental Holdings","2014-05-06 21:43:34"
"United Continental Holdings","2014-05-06 21:47:23"
"Cisco Systems","2014-05-06 21:51:56"
"Cisco Systems","2014-05-06 22:06:51"
"Lithia Motors","2014-05-07 02:24:00"
"Lithia Motors","2014-05-07 02:35:15"
"Supervalu","2014-05-07 04:34:23"
"McDonald's","2014-05-07 07:19:00"
"McDonald's","2014-05-07 07:22:22"
"Bank of America Corp.","2014-05-07 21:11:36"
"Bank of America Corp.","2014-05-07 21:23:16"
"United Natural Foods","2014-05-07 22:52:36"
"Leucadia National","2014-05-08 17:07:21"
"Leucadia National","2014-05-08 17:20:42"
"Whirlpool","2014-05-08 17:36:55"
"Massachusetts Mutual Life Insurance","2014-05-09 09:09:45"
"FirstEnergy","2014-05-09 10:23:36"
"FirstEnergy","2014-05-09 10:39:32"
"EOG Resources","2014-05-09 11:56:39"
"EOG Resources","2014-05-09 12:14:09"
"Best Buy","2014-05-09 17:11:07"
"New York Life Insurance","2014-05-10 11:26:45"
"Archer Daniels Midland","2014-05-10 20:40:32"
"Archer Daniels Midland","2014-05-10 20:44:42"
"Dollar General","2014-05-11 14:01:28"
"Western Refining","2014-05-12 09:01:24"
"Southwest Airlines","2014-05-12 11:55:32"
"AutoNation","2014-05-12 15:16:42"
"AutoNation","2014-05-12 15:32:12"
"Ecolab","2014-05-12 21:39:25"
"Sysco","2014-05-13 06:49:49"
"Sysco","2014-05-13 06:54:25"
"Western Digital","2014-05-13 11:06:52"
"Western Digital","2014-05-13 11:08:11"
"Walgreens Boots Alliance","2014-05-14 05:25:30"
"Jabil Circuit","2014-05-16 01:20:48"
"Jabil Circuit","2014-05-16 01:22:45"
"Twenty-First Century Fox","2014-05-16 05:05:30"
"Mosaic","2014-05-17 03:21:52"
"Mosaic","2014-05-17 03:42:19"
"Fluor","2014-05-18 08:52:14"
"Thermo Fisher Scientific","2014-05-18 23:31:34"
"Monsanto","2014-05-19 05:52:30"
"Monsanto","2014-05-19 06:10:59"
"General Dynamics","2014-05-19 19:51:41"
"Core-Mark Holding","2014-05-19 23:58:58"
"Arrow Electronics","2014-05-20 11:44:40"
"Arrow Electronics","2014-05-20 11:58:51"
"Lear","2014-05-20 14:50:59"
"Lear","2014-05-20 14:51:54"
"Chesapeake Energy","2014-05-22 03:17:20"
"CST Brands","2014-05-22 14:02:58"
"Republic Services","2014-05-23 06:57:57"
"ADP","2014-05-24 08:25:36"
"ADP","2014-05-24 08:28:56"
"Entergy","2014-05-24 11:40:03"
"Entergy","2014-05-24 11:57:48"
"Avis Budget Group","2014-05-24 17:04:08"
"Avis Budget Group","2014-05-24 17:25:23"
"United Technologies","2014-05-25 01:04:11"
"United Technologies","2014-05-25 01:25:36"
"Capital One Financial","2014-05-25 12:21:31"
"Capital One Financial","2014-05-25 12:27:24"
"Abbott Laboratories","2014-05-25 12:51:15"
"Abbott Laboratories","2014-05-25 12:56:59"
"Parker-Hannifin","2014-05-25 21:02:44"
"Parker-Hannifin","2014-05-25 21:11:41"
"Philip Morris International","2014-05-26 21:55:18"
"Kinder Morgan","2014-05-27 11:39:48"
"Kinder Morgan","2014-05-27 11:54:35"
"Charter Communications","2014-05-27 12:31:20"
"Charter Communications","2014-05-27 12:39:57"
"Illinois Tool Works","2014-05-27 16:11:05"
"Illinois Tool Works","2014-05-27 16:27:38"
"Marathon Petroleum","2014-05-27 21:00:42"
"Marathon Petroleum","2014-05-27 21:12:34"
"Paccar","2014-05-27 21:57:12"
"Paccar","2014-05-27 22:07:49"
"Freddie Mac","2014-05-28 01:56:23"
"Freddie Mac","2014-05-28 01:57:01"
"Centene","2014-05-28 10:37:38"
"Disney","2014-05-28 22:02:32"
"Disney","2014-05-28 22:02:41"
"American Family Insurance Group","2014-05-29 04:07:24"
"American Family Insurance Group","2014-05-29 04:16:37"
"FedEx","2014-05-29 11:25:17"
"FedEx","2014-05-29 11:28:39"
